n°ordre-alph18012,nom,nom,insee,section,superficie,intendance,election,subdelegation,grenier,coutume,parlement,bailliage,gouvernement,diocese,archidiacone,doyenne,vocable,presentateur,V_1250_f,V_1616_f,V_1665_f,V_1680_f_tot,V_1680_f_masc,V_1686_f_tot,V_1686_f_masc,V_1693_h,V_1700_f,V_1709_f,V_1710_f,V_1713_f,V_1720_f,V_1725_f,V_1725_g,V_1726_f,V_1726_g,V_1730_f,V_1735_f_1,V_1735_f_2_totaux,V_1735_f_2_masc,V_1741_f,V_1743_f,V_1745_f_tot,V_1745_f_masc,V_1746_f_tot,V_1746_f_masc,V_1755_f_tot,V_1755_f_masc,V_1757_f_tot,V_1757_f_masc,V_1766_f,V_1768_f,V_1774_f,V_1775_f_tot,V_1775_f_masc,V_1785_f_tot,V_1785_f_masc,V_1786_f,V_1786_g,V_1787_f,V_1787_g,V_1788_f,V_1788_g,V_1789_f1,V_1789_g,V_1789_f_2,V_1789_f_3,district_1790,canton_1790,canton_1801,arrondissement_1982,canton _1982,V_1790_f,V_1790_h,V_1793_h,V_an_II_h,V_an_IV_h,V_1801_h,V_an_XII_h,V_1806_h,V_1820_h,V_1826_h,V_1831_h,V_1836_h,V_1841_h,V_1846_h,V_1851_h,V_1856_h,V_1861_h,V_1866_h,V_1872_h,V_1876_h,V_1881_h,V_1886_h,V_1891_h,V_1896_h,V_1901_h,V_1906_h,V_1911_h,V_1921_h,V_1926_h,V_1931_h,V_1936_h,V_1946_h,V_1954_h,V_1962_a_h,V_1962_b_h,V_1968_h,V_1975_h,V_1982_h,lat,lon
6181,Bû,Bû,28064,s_o,2260,Paris,Dreux,Dreux,Dreux,Chartres,Paris,Dreux,Île-de-France,Chartres,Pinserais,Mantes,Notre Dame,abbé de Jumièges,180,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,41,n_c,128,234,245,773,267,839,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,234,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,Dreux,Bû,Anet,Dreux,Anet,n_c,1400,1400,1395,1326,1412,1484,1511,1549,1534,1550,1578,1519,1505,1467,1383,1311,1286,1210,1160,1076,1024,997,914,873,855,830,835,797,805,773,760,731,678,696,778,861,1062,,
6267,Bullainville,Bullainville,28065,s_o,666,Orléans,Châteaudun,Châteaudun,Châteaudun,Chartres,Paris,Chartres,Orléanais,Chartres,Dunois,Beauce,saint Georges,chapitre de Chartres,60,n_c,36,n_c,n_c,n_c,n_c,n_c,n_c,56,n_c,51,56,50,153,51,154,n_c,49,n_c,n_c,lac.,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,56,50,n_c,n_c,n_c,n_c,n_c,69,176,61,161,62,164,53,162,lac.,n_c,Châteaudun,Sancheville,Bonneval,Châteaudun,Bonneval,n_c,240,lac.,240,140,280,298,282,293,314,322,307,274,302,299,297,244,238,232,234,224,218,224,230,193,194,174,192,198,194,161,161,143,141,147,133,115,101,,
6274,Bullou,Bullou,28066,s_o,914,Orléans,Châteaudun,Châteaudun,Brou,Chartres,Paris,Blois ,Maine,Chartres,Grand archidiaconé,Brou,saint Pierre et saint Paul,grand archidiacre,60,n_c,44,n_c,n_c,n_c,n_c,n_c,n_c,43,n_c,49,43,82,273,76,223,n_c,105,n_c,n_c,52,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,43,90,97,n_c,n_c,n_c,n_c,70,241,70,242,lac.,lac.,lac.,lac.,lac.,n_c,Châteaudun,Dangeau,Brou,Châteaudun,Brou,n_c,390,lac.,391,lac.,398,449,405,413,444,457,467,470,452,436,465,480,503,475,434,479,440,363,400,351,366,373,333,331,330,336,302,283,241,245,219,193,173,,
7509,Cernay,Cernay,28067,s_o,789,Orléans,Chartres,Chartres,Chartres,Chartres,Paris,Chartres,Orléanais,Chartres,Grand archidiaconé,Courville,saints Crespin et Crépinien,abbé de Saint-Jean,60,n_c,44,n_c,n_c,n_c,n_c,n_c,n_c,63,n_c,61,53,39,120,38,119,n_c,40,n_c,n_c,53,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,53,58,42,n_c,n_c,n_c,n_c,46,138,52,152,55,149,55,149,lac.,n_c,Chartres,Illiers,Illiers,Chartres,Illiers-Combray,n_c,172,lac.,172,lac.,250,248,212,207,213,172,202,188,199,221,220,194,185,192,156,184,163,190,163,161,162,150,143,128,135,138,122,89,82,85,68,61,73,,
7714,Challet,Challet,28068,s_o,1017,Orléans,Chartres,Chartres,Chartres,Chartres,Paris,Chartres,Orléanais,Chartres,Dreux,Dreux,saint Gilles et saint Lou,abbé de Coulombs,66,n_c,73,n_c,n_c,n_c,n_c,n_c,n_c,60,n_c,66,60,42,142,46,173,n_c,56,n_c,n_c,60,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,60,58,70,n_c,n_c,n_c,n_c,67,215,68,216,69,222,69,219,lac.,n_c,Chartres,Bailleau-l’Évêque,Chartres Nord,Chartres,Chartres Nord-Est,n_c,262,lac.,262,lac.,261,273,281,325,347,316,318,310,295,303,306,316,303,299,323,311,299,295,275,272,275,280,260,260,263,270,260,237,193,209,210,292,331,,
7857,Champagne,Champagne,28069,s_o,221,Paris,Dreux,Dreux,Dreux,Chartres,Paris,Chartres,Île-de-France,Chartres,Pinserais,Mantes,sainte Croix,commandeur de la Ville-Dieu-en-Drugésin,100,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,69,n_c,31,30,25,87,30,97,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,30,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,lac.,n_c,Dreux,Bû,Anet,Dreux,Anet,n_c,140,150,122,120,118,118,130,111,116,108,120,115,112,106,116,117,119,121,131,125,124,127,123,111,97,111,111,111,92,85,98,103,86,86,73,74,85,,
7939,Champhol,Champhol,28070,s_o,537,Orléans,Chartres,Chartres,Chartres,Chartres,Paris,Chartres,Orléanais,Chartres,Chartres,Sous-doyenné de Chartres,saint Denis,abbé de Saint-Père,s_i,150,115,n_c,n_c,n_c,n_c,n_c,n_c,117,n_c,57,117,41,130,41,131,n_c,lac.,n_c,n_c,117,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,117,lac.,65,n_c,n_c,n_c,n_c,44,160,41,149,40,148,41,150,44,n_c,Chartres,Chartres,Chartres Nord,Chartres,Chartres Nord-Est,n_c,232,lac.,455,lac.,409,448,412,464,486,441,435,410,472,446,425,414,408,384,370,390,397,380,415,412,382,392,412,503,510,518,372,473,678,657,818,1063,1694,,
7998,Champrond-en-Gâtine,Champrond-en-Gâtine,28071,s_o,3368,Orléans,Chartres ,Chartres,Chartres,Chartres,Paris,Chartres ,Maine,Chartres,Grand archidiaconé,Brou,saint Sauveur,doyen de Saint-Denis de Nogent-le-Rotrou,66,n_c,133,n_c,n_c,n_c,n_c,n_c,n_c,137,n_c,132,137,113,301,114,344,n_c,130,n_c,n_c,137,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,137,134,168,n_c,n_c,n_c,n_c,144,412,142,412,146,413,149,418,lac.,n_c,Nogent-le-Rotrou,Champrond,La Loupe,Nogent-le-Rotrou ,La Loupe,n_c,722,lac.,900,lac.,853,869,968,904,914,871,900,929,947,965,829,845,867,826,826,786,726,752,746,716,739,711,633,618,597,584,637,540,507,530,507,446,430,,
7999,Champrond-en-Perchet,Champrond-en-Perchet,28072,mi-partie,902,Alençon ,Mortagne ,Nogent-le-Rotrou et Châteaudun,Nogent-le-Rotrou ,Grand Perche,Paris,Bellême ,Maine,Chartres,Grand archidiaconé,Perche,saint Aubin ,doyen de Saint-Denis de Nogent-le-Rotrou,122,n_c,n_c,n_c,n_c,63,49,n_c,n_c,71,n_c,71,45,44,162,43,158,n_c,n_c,50,40,n_c,n_c,n_c,n_c,51,43,n_c,n_c,n_c,n_c,45,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,Nogent-le-Rotrou,Nogent-le-Rotrou,Nogent-le-Rotrou,Nogent-le-Rotrou,Nogent-le-Rotrou,n_c,203,lac.,219,lac.,269,267,268,251,209,314,341,348,346,334,328,336,327,325,300,266,269,266,268,252,243,246,190,221,229,205,183,178,157,163,151,285,440,,
,Champrond-en-Perchet,Champrond-en-Perchet,28072,mi-partie,s_o,Orléans,Châteaudun ,Nogent-le-Rotrou et Châteaudun,Nogent-le-Rotrou ,Grand Perche,Paris,Bellême ,Maine,Chartres,s_o,s_o,s_o,s_o,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,28,n_c,27,28,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,28,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,,
8014,Champseru,Champseru,28073,s_o,1499,Orléans,Chartres,Chartres,Chartres,Chartres,Paris,Chartres,Orléanais,Chartres,Grand archidiaconé,Épernon,saint Martin,chapitre de Chartres,120,113,50,n_c,n_c,n_c,n_c,n_c,n_c,42,n_c,49,42,43,183,44,182,n_c,50,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,42,54,59,n_c,n_c,n_c,n_c,58,210,60,215,63,223,61,221,lac.,n_c,Chartres,Gallardon,Auneau,Chartres,Auneau,n_c,251,lac.,251,277,258,291,314,327,348,330,338,332,326,353,342,324,325,347,357,322,335,333,297,292,286,282,275,270,247,246,226,214,163,174,162,167,241,,
8213,La Chapelle-d’Aunainville,La Chapelle-d’Aunainville,28074,s_o,750,Orléans,Chartres,Chartres,Dourdan ,Chartres,Paris,Chartres,Orléanais,Chartres,Grand archidiaconé,Auneau,saint Lubin,grand archidiacre,54,n_c,47,n_c,n_c,n_c,n_c,n_c,n_c,52,n_c,57,52,54,177,48,155,n_c,64,n_c,n_c,52,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,52,75,65,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,lac.,n_c,Janville,Sainville,Auneau,Chartres,Auneau,72,301,lac.,311,lac.,321,328,306,282,298,316,294,277,285,295,287,277,273,270,279,291,295,300,303,307,259,250,230,220,232,232,197,188,165,174,146,120,144,,
8235,La Chapelle-du-Noyer,La Chapelle-du-Noyer,28075,s_o,1331,Orléans,Châteaudun,Châteaudun,Châteaudun,Blois,Paris,Blois,Orléanais,Chartres,Dunois,Beauce,Notre Dame,abbé de Bonneval,45,n_c,86,n_c,n_c,n_c,n_c,n_c,n_c,74,n_c,77,74,80,279,79,272,n_c,77,n_c,n_c,79,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,74,85,n_c,n_c,n_c,n_c,n_c,80,248,68,198,67,194,71,266,80,n_c,Châteaudun,Châteaudun,Châteaudun,Châteaudun,Châteaudun,n_c,350,lac.,408,402,370,394,369,309,337,386,433,436,469,474,495,522,516,467,503,510,505,462,422,431,425,443,692,575,628,586,469,572,690,620,757,831,932,,
8246,La Chapelle-Forainvilliers,La Chapelle-Forainvilliers,28076,s_o,538,Paris,Dreux,Dreux,Dreux,Chartres,Paris,Chartres,Île-de-France,Chartres,Dreux,Dreux,saint Martin,abbé de Coulombs,58,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,16,n_c,55,44,44,141,53,147,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,44,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,50,n_c,Dreux,Bû,Dreux,Dreux,Dreux Est ,n_c,190,202,193,146,174,175,208,185,189,192,186,188,180,190,177,206,191,185,183,162,147,148,150,136,128,133,115,124,115,128,112,109,87,91,70,95,77,,
8247,La Chapelle-Fortin,La Chapelle-Fortin,28077,s_o,1441,Alençon,Verneuil ,La Ferté-Vidame ,Verneuil,Châteauneuf-en-Thymerais,Paris,Châteauneuf-en-Thymerais,Normandie,Chartres,Dreux,Brézolles,saint Pierre ,abbé de Saint-Père,105,n_c,n_c,lac.,lac.,lac.,lac.,n_c,n_c,100,n_c,85,100,67,230,73,208,n_c,n_c,lac.,lac.,n_c,n_c,lac.,lac.,n_c,n_c,lac.,lac.,n_c,n_c,lac.,n_c,n_c,lac.,lac.,lac.,lac.,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,Châteauneuf-en-Thymerais,La Ferté-Vidame,La Ferté-Vidame,Dreux,La Ferté-Vidame,81,356,lac.,396,lac.,377,457,471,442,525,503,468,404,453,427,428,440,411,372,342,338,361,353,354,353,343,326,283,318,297,249,299,285,228,237,206,171,163,,
8262,Chapelle-Guillaume,Chapelle-Guillaume,28078,s_o,1986,Orléans,Châteaudun,Châteaudun,Authon-du-Perche ,Chartres,Paris,Janville,Maine,Chartres,Dunois,Perche,Notre Dame,évêque de Chartres,60,lac.,92,n_c,n_c,n_c,n_c,n_c,n_c,114,n_c,93,114,76,278,82,253,n_c,73,n_c,n_c,77,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,114,116,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,160,n_c,Nogent-le-Rotrou,La Bazoche,Authon,Nogent-le-Rotrou ,Authon-du-Perche,n_c,716,lac.,707,829,674,821,807,915,990,905,952,927,969,919,891,810,790,726,733,729,700,769,742,693,687,706,564,650,610,633,511,410,356,364,322,260,236,,
8349,Chapelle-Royale,Chapelle-Royale,28079,s_o,989,Orléans,Châteaudun,Châteaudun,Brou,Chartres,Paris,Blois ,Maine,Chartres,Dunois,Perche,Notre Dame,abbé de Saint-Père,48,n_c,106,n_c,n_c,n_c,n_c,n_c,n_c,102,n_c,92,102,88,297,87,295,n_c,89,n_c,n_c,83,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,102,97,n_c,n_c,n_c,n_c,n_c,94,326,93,320,lac.,lac.,lac.,lac.,108,n_c,Nogent-le-Rotrou,La Bazoche,Authon,Nogent-le-Rotrou ,Authon-du-Perche,n_c,492,lac.,513,476,514,459,520,497,549,557,572,642,624,586,556,534,484,493,519,523,536,548,517,528,518,516,504,500,502,503,489,448,442,460,450,430,378,,
8393,Charbonnières,Charbonnières,28080,s_o,2091,Orléans,Châteaudun,Châteaudun,Authon-du-Perche ,Chartres,Paris,Janville,Maine,Chartres,Dunois,Perche,saint Jean-Baptiste,abbé de Saint-Calais,82,lac.,182,n_c,n_c,n_c,n_c,n_c,n_c,211,n_c,195,211,148,511,166,484,n_c,152,n_c,n_c,140,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,211,178,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,190,n_c,Nogent-le-Rotrou,Authon,Authon,Nogent-le-Rotrou ,Authon-du-Perche,n_c,880,lac.,981,lac.,692,799,871,907,933,908,922,1020,986,909,872,935,889,845,831,788,796,815,812,808,787,773,702,719,669,588,614,577,490,514,455,404,311,,
8559,Charonville,Charonville,28081,s_o,966,Orléans,Chartres,Chartres,Chartres,Chartres,Paris,Chartres,Orléanais,Chartres,Grand archidiaconé,Brou,saint Gilles,chapitre de Chartres,63,57,45,n_c,n_c,n_c,n_c,n_c,n_c,61,n_c,81,61,73,180,75,191,n_c,85,n_c,n_c,61,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,61,89,66,n_c,n_c,n_c,n_c,83,243,83,245,83,243,78,227,lac.,n_c,Châteaudun,Dangeau,Brou ,Chartres,Illiers-Combray,n_c,323,lac.,345,lac.,292,310,316,333,464,363,345,373,363,385,375,352,361,373,371,361,368,330,337,329,317,280,262,266,286,269,290,238,240,252,235,231,272,,
8512,Charpont,Charpont,28082,s_o,712,Paris,Dreux,Dreux,Dreux,Chartres,Paris,Chartres,Île-de-France,Chartres,Dreux,Dreux,saint Hilaire,abbé de Coulombs,102,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,63,n_c,52,68,56,175,56,193,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,68,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,80,n_c,Dreux,Dreux,Dreux,Dreux,Dreux Est ,n_c,288,307,304,330,349,390,411,364,374,369,393,393,387,366,335,307,323,282,264,250,265,246,250,225,228,233,206,201,189,176,205,219,202,206,221,250,323,,
8516,Charray,Charray,28083,s_o,1098,Orléans,Châteaudun,Châteaudun,Châteaudun,Blois ou Chartres,Paris,Blois ,Orléanais,Blois ,Vendôme,La Ferté-Villeneuil,saint Marcel,évêque de Blois,76,n_c,74,n_c,n_c,n_c,n_c,n_c,n_c,50,n_c,51,50,54,183,56,183,n_c,lac.,n_c,n_c,46,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,50,58,n_c,n_c,n_c,n_c,n_c,61,212,64,238,59,255,61,236,lac.,n_c,Châteaudun,Cloyes,Cloyes,Châteaudun,Cloyes-sur-le-Loir,n_c,250,lac.,353,287,282,291,299,317,350,372,372,331,360,367,386,404,378,350,338,341,349,300,282,271,284,263,231,238,243,213,213,217,193,200,170,155,148,,
8531,Chartainvilliers,Chartainvilliers,28084,s_o,907,Orléans,Chartres,Chartres,Chartres,Chartres,Paris,Chartres,Orléanais,Chartres,Grand archidiaconé,Épernon,saint Piat ,abbé de Josephat,s_i,100,104,n_c,n_c,n_c,n_c,n_c,n_c,75,n_c,83,75,78,291,80,295,n_c,95,n_c,n_c,75,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,75,113,140,n_c,n_c,n_c,n_c,111,369,113,372,114,398,114,368,lac.,n_c,Chartres,Maintenon,Maintenon,Chartres,Maintenon,n_c,482,lac.,482,lac.,467,517,507,484,504,502,459,456,445,431,426,407,388,370,373,340,335,317,315,322,322,306,264,252,261,238,261,273,199,208,197,239,548,,
8537,Chartres,Chartres,28085,s_o,1685,Orléans,Chartres,Chartres,Chartres,Chartres,Paris,Chartres,Orléanais,Chartres,Chartres,Chartres,11 paroisses,7 présentateurs,lac.,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,lac.,n_c,3770,lac.,3157,10007,3614,11114,n_c,lac.,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,1890,3733,3726,n_c,n_c,n_c,n_c,3756,11585,3786,11698,3764,11377,3793,11533,lac.,n_c,Chartres,Chartres,Chartres Nord et Sud,Chartres,Chartres (Nord-Sud-Est-Oouest),n_c,13121,lac.,15000,14935,13794,15379,13809,13714,13703,14439,14750,16383,17353,18234,18925,19531,19442,19580,20468,21080,21903,23108,23182,23431,23219,24103,23349,24630,25357,27077,26422,28750,33310,31495,34469,38928,37119,,
8572,Chassant,Chassant,28086,s_o,446,Orléans,Chartres,Chartres,Brou,Chartres,Paris,Chartres,Maine,Chartres,Grand archidiaconé,Brou,saint Lubin,religieux de Bonne-Nouvelle d’Orléans,24,n_c,52,n_c,n_c,n_c,n_c,n_c,n_c,57,n_c,45,57,39,134,44,149,n_c,lac.,n_c,n_c,57,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,57,lac.,60,n_c,n_c,n_c,n_c,47,161,44,151,lac.,lac.,lac.,lac.,lac.,n_c,Nogent-le-Rotrou,Frazé,Thiron,Nogent-le-Rotrou ,Thiron,n_c,220,lac.,213,lac.,185,215,199,250,266,300,368,372,413,420,431,409,437,383,351,326,350,327,353,383,412,432,356,333,356,350,303,304,276,285,322,308,291,,
8842,Châtaincourt,Châtaincourt,28087,mi-partie,1482,Paris,Dreux,Dreux,Dreux ,Châteauneuf-en-Thymerais,Paris,Châteauneuf-en-Thymerais,Normandie,Chartres,Dreux,Brézolles,saint Martin ,abbé de Coulombs,100,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,62!,n_c,98!,90!,79!,214!,90!,234!,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,80!,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,Dreux,Saint-Lubin-des-Joncherets,Brézolles,Dreux,Brézolles,n_c,430,421,421,469,445,414,425,423,435,416,418,397,397,376,364,323,327,334,310,323,330,320,289,270,268,265,255,278,245,240,219,255,190,199,169,143,190,,
,Châtaincourt,Châtaincourt,28087,mi-partie,s_o,Alençon,Verneuil,Châteauneuf-en-Thymerais ,Dreux ,Châteauneuf-en-Thymerais,Paris,Châteauneuf-en-Thymerais,Normandie,s_o,s_o,s_o,s_o,s_o,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,17,lac.,16,lac.,lac.,lac.,lac.,lac.,lac.,17,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,80!,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,32,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,,
8644,Châteaudun,Châteaudun,28088,s_o,2848,Orléans,Châteaudun ,Châteaudun,Châteaudun ,Blois,Paris,Blois,Orléanais,Chartres,Dunois,Beauce et Perche,7 paroisses,5 présentateurs,1297,n_c,914,n_c,n_c,n_c,n_c,n_c,n_c,925,n_c,1061,925,1079,3088,873,2792,n_c,973,n_c,n_c,lac.,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,925,1612,n_c,n_c,n_c,n_c,n_c,1363,4608,1366,4618,1366,4618,1383,4660,lac.,n_c,Châteaudun,Châteaudun,Châteaudun,Châteaudun,Châteaudun,n_c,6345,5963,5957,6471,6046,5834,6161,6042,6452,6461,6776,6580,6788,6745,6542,6719,6781,6552,6694,7036,7284,7147,7460,7146,7147,7296,6587,6558,6790,7057,8145,9687,12316,11982,14450,15338,15319,,
8684,Châteauneuf-en-Thymerais,Châteauneuf-en-Thymerais,28089,s_o,407,Alençon,Verneuil,Châteauneuf-en-Thymerais ,Dreux,Châteauneuf-en-Thymerais,Paris,Châteauneuf-en-Thymerais,Normandie,Chartres,Dreux,Dreux,Notre Dame,prieur de Thimert,60,n_c,n_c,185,154,n_c,n_c,n_c,n_c,185,n_c,220,185,229,632,243,606,n_c,n_c,252,204,n_c,n_c,224,174,n_c,n_c,251,200,lac.,lac.,lac.,n_c,n_c,235,211,273,247,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,Châteauneuf-en-Thymerais,Châteauneuf-en-Thymerais,Châteauneuf-en-Thymerais,Dreux,Châteauneuf-en-Thymerais,359,1050,lac.,1168,lac.,1271,1500,1250,1230,1170,1231,1156,1352,1418,1435,1504,1467,1489,1423,1517,1455,1490,1400,1361,1326,1331,1335,1276,1240,1379,1393,1479,1529,1938,1968,2081,2248,2338,,
8755,Les Châtelets,Les Châtelets,28090,s_o,992,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,Chartres,Dreux,Brézolles,saint Pierre,abbé de Saint-Père,45,s_i,s_i,s_i,s_i,s_i,s_i,s_i,n_c,s_i,n_c,s_i,s_i,s_i,s_i,s_i,s_i,n_c,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,n_c,Châteauneuf-en-Thymerais,Brézolles,Brézolles,Dreux,Brézolles,64,248,lac.,260,283,246,260,248,219,220,238,246,224,213,219,227,217,195,209,199,179,192,205,207,174,183,191,162,170,183,179,185,169,141,146,122,96,82,,
8765,Les Châtelliers-Notre-Dame,Les Châtelliers-Notre-Dame,28091,s_o,1087,Orléans,Chartres,Chartres,Chartres,Chartres,Paris,Chartres,Maine,Chartres,Grand archidiaconé,Brou,Notre Dame,chapitre de Chartres,12,n_c,22,n_c,n_c,n_c,n_c,n_c,n_c,27,n_c,31,27,33,93,31,114,n_c,37,n_c,n_c,27,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,27,40,38,n_c,n_c,n_c,n_c,46,140,46,140,46,142,49,147,lac.,n_c,Chartres,Illiers,Illiers,Chartres,Illiers-Combray,n_c,204,lac.,204,lac.,179,161,168,172,186,187,210,199,193,186,190,196,188,160,164,161,177,177,159,143,139,157,137,160,154,161,137,156,118,127,115,105,110,,
8779,Châtenay,Châtenay,28092,s_o,1027,Orléans,Dourdan,Dourdan,Janville,Étampes,Paris,Étampes,Orléanais,Chartres,Grand archidiaconé,Rochefort,saint Sulpice,grand archidiacre,66,76,74,n_c,n_c,n_c,n_c,n_c,n_c,75,n_c,68,75,70,240,71,252,n_c,81,n_c,n_c,70,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,75,60,n_c,n_c,n_c,n_c,n_c,92,351,93,352,101,376,104,401,lac.,n_c,Janville,Gommerville,Auneau,Chartres,Auneau,94,366,lac.,388,lac.,376,372,361,354,387,365,355,365,377,395,401,409,434,449,434,418,392,345,325,331,312,276,243,255,236,219,243,237,178,183,169,142,148,,
8803,Châtillon-en-Dunois,Châtillon-en-Dunois,28093,s_o,3719,Orléans,Châteaudun,Châteaudun,Châteaudun,Blois,Paris,Blois,Orléanais,Chartres,Dunois,Perche,saint Hilaire,archidiacre du Dunois,160,n_c,300,n_c,n_c,n_c,n_c,n_c,n_c,210,n_c,263,210,202,573,225,716,n_c,245,n_c,n_c,252,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,210,235,n_c,n_c,n_c,n_c,n_c,236,746,252,713,265,754,264,616,280,n_c,Châteaudun,Arrou,Cloyes,Châteaudun,Cloyes-sur-le-Loir,n_c,1150,lac.,1134,lac.,1239,1196,1275,1295,1362,1222,1409,1434,1495,1435,1448,1448,1465,1452,1383,1357,1344,1353,1308,1256,1255,1253,1135,1160,1148,1089,1080,1072,996,1028,967,813,752,,
