n°ordre-alph18012,nom,nom,insee,section,superficie,intendance,election,subdelegation,grenier,coutume,parlement,bailliage,gouvernement,diocese,archidiacone,doyenne,vocable,presentateur,V_1250_f,V_1616_f,V_1665_f,V_1680_f_tot,V_1680_f_masc,V_1686_f_tot,V_1686_f_masc,V_1693_h,V_1700_f,V_1709_f,V_1710_f,V_1713_f,V_1720_f,V_1725_f,V_1725_g,V_1726_f,V_1726_g,V_1730_f,V_1735_f_1,V_1735_f_2_totaux,V_1735_f_2_masc,V_1741_f,V_1743_f,V_1745_f_tot,V_1745_f_masc,V_1746_f_tot,V_1746_f_masc,V_1755_f_tot,V_1755_f_masc,V_1757_f_tot,V_1757_f_masc,V_1766_f,V_1768_f,V_1774_f,V_1775_f_tot,V_1775_f_masc,V_1785_f_tot,V_1785_f_masc,V_1786_f,V_1786_g,V_1787_f,V_1787_g,V_1788_f,V_1788_g,V_1789_f1,V_1789_g,V_1789_f_2,V_1789_f_3,district_1790,canton_1790,canton_1801,arrondissement_1982,canton _1982,V_1790_f,V_1790_h,V_1793_h,V_an_II_h,V_an_IV_h,V_1801_h,V_an_XII_h,V_1806_h,V_1820_h,V_1826_h,V_1831_h,V_1836_h,V_1841_h,V_1846_h,V_1851_h,V_1856_h,V_1861_h,V_1866_h,V_1872_h,V_1876_h,V_1881_h,V_1886_h,V_1891_h,V_1896_h,V_1901_h,V_1906_h,V_1911_h,V_1921_h,V_1926_h,V_1931_h,V_1936_h,V_1946_h,V_1954_h,V_1962_a_h,V_1962_b_h,V_1968_h,V_1975_h,V_1982_h,lat,lon
1135,Ardelu,Ardelu,28009,s_o,407,Orléans,Dourdan,Dourdan,Janville,Étampes,Paris,Étampes,Orléanais,Chartres,Grand archidiaconé,Rochefort,saint Pierre,abbé de Saint-Jean,30,n_c,33,n_c,n_c,n_c,n_c,n_c,n_c,36,n_c,36,36,33,94,38,111,n_c,37,n_c,n_c,35,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,36,33,n_c,n_c,n_c,n_c,n_c,33,119,33,120,34,124,33,124,lac.,n_c,Janville,Gommerville,Auneau,Chartres,Auneau,31,104,lac.,125,lac.,104,120,122,132,135,118,129,133,123,135,123,116,128,118,112,106,90,90,90,84,90,79,76,78,73,64,61,49,46,48,50,58,49,,
1213,Argenvilliers,Argenvilliers,28010,s_o,1835,Alençon,Mortagne,Nogent-le-Rotrou,Authon-du-Perche ,Grand Perche,Paris,Bellême,Maine,Chartres,Grand archidiaconé,Perche,saint Pierre ,abbé de Thiron,22,n_c,n_c,n_c,n_c,130!,109!,516,n_c,167,n_c,172,101,130,406,126,391,n_c,n_c,151,141,n_c,n_c,n_c,n_c,162,143,n_c,n_c,168,150,101,n_c,116,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,Nogent-le-Rotrou,Thiron,Nogent-le-Rotrou,Nogent-le-Rotrou ,Nogent-le-Rotrou,n_c,760,lac.,673,lac.,722,754,744,712,786,777,863,824,813,782,710,728,712,709,660,630,574,561,560,539,575,569,516,506,516,515,502,441,412,423,388,363,330,,
1374,Arrou,Arrou,28012,s_o,6498,Orléans,Châteaudun,Châteaudun,Brou,Blois ou Orléans,Paris,Blois ,Maine,Chartres,Dunois,Perche,saint Lubin,abbé de Saint-Père,288,n_c,538,n_c,n_c,n_c,n_c,n_c,n_c,625,n_c,550,625,560,1781,545,1731,n_c,572,n_c,n_c,550,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,625,530,n_c,n_c,n_c,n_c,n_c,456,1561,454,1552,lac.,lac.,lac.,lac.,600,n_c,Châteaudun,Arrou,Cloyes,Châteaudun,Cloyes-sur-le-Loir,n_c,2854,lac.,2826,lac.,3219,2970,3044,2892,3040,3084,3012,3008,2933,2980,2870,2861,2845,2712,2650,2584,2683,2735,2642,2686,2716,2677,2517,2585,2531,2520,2375,2139,2019,2078,1957,1841,1825,,
1864,Aunay-sous-Auneau,Aunay-sous-Auneau,28013,s_o,1941,Orléans,Chartres,Chartres,Dourdan ,Montfort-l’Amaury,Paris,Montfort-l’Amaury,Orléanais,Chartres,Grand archidiaconé,Auneau,saint Eloy,grand archidiacre,170,n_c,161,n_c,n_c,n_c,n_c,n_c,n_c,180,n_c,190,180,178,567,170,504,n_c,185,n_c,n_c,180,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,180,181,202,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,Janville,Sainville,Auneau,Chartres,Auneau,230,950,lac.,915,lac.,922,983,974,1028,1042,1021,1006,1017,1022,1076,1060,1046,1055,1103,1135,1163,1169,1143,1095,1033,1059,1007,1017,1019,979,938,961,1024,877,837,755,881,1109,,
1816,Aunay-sous-Crécy,Aunay-sous-Crécy,28014,mi-partie,845,Alençon,Verneuil,Crécy,Dreux,Châteauneuf-en-Thymerais,Paris,Châteauneuf-en-Thymerais,Normandie,Chartres,Dreux,Dreux,saint Martin ,abbé de Saint-Père,60,n_c,n_c,lac.,lac.,lac.,lac.,n_c,n_c,63,n_c,79,63,95!,271!,97!,314!,n_c,n_c,62,47,n_c,n_c,62,44,n_c,n_c,65,58,n_c,n_c,47,n_c,n_c,lac.,lac.,lac.,lac.,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,Dreux,Tremblay,Dreux,Dreux,Dreux Sud ,n_c,202,208,202,261,223,236,256,211,224,247,308,369,431,396,335,335,267,306,276,251,268,249,242,261,298,304,285,320,339,318,380,349,424,437,444,566,666,,
,Couvé,Couvé,28014,mi-partie,s_o,Paris,Dreux,Dreux,Dreux,Châteauneuf-en-Thymerais,Paris,Châteauneuf-en-Thymerais,Normandie,Chartres,s_o,s_o,s_o,s_o,75,n_c,n_c,lac.,lac.,lac.,lac.,n_c,n_c,lac.,n_c,lac.,lac.,lac.,lac.,lac.,lac.,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,,
1866,Auneau,Auneau,28015,s_o,1705,Orléans,Chartres,Chartres,Dourdan ,Chartres,Paris,Chartres,Orléanais,Chartres,Grand archidiaconé,Auneau,saint Remi,abbé de Bonneval,324,n_c,252,n_c,n_c,n_c,n_c,n_c,n_c,248,n_c,252,248,253,831,250,789,n_c,285,n_c,n_c,248,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,248,269,282,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,lac.,n_c,Chartres,Auneau,Auneau,Chartres,Auneau,n_c,1350,lac.,1350,1450,1431,1428,1541,1585,1715,1616,1616,1652,1672,1699,1741,1687,1705,1736,1806,1825,1838,1850,1853,1946,1954,2050,1920,1919,1962,1867,1937,1868,1962,2014,2358,2791,3183,,
1951,Villevillon,Les Autels-Villevillon,28016,A,1008,Orléans,Châteaudun,Châteaudun,Authon-du-Perche ,Chartres,Paris,Chartres,Maine,Chartres,Dunois,Perche,saint Eloy,seigneur des Autels-Villevillon,38,n_c,33,n_c,n_c,n_c,n_c,n_c,n_c,43,n_c,41,43,40,131,44,134,n_c,68,n_c,n_c,34,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,43,40,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,50,n_c,Nogent-le-Rotrou,La Bazoche,Authon,Nogent-le-Rotrou ,Authon-du-Perche,n_c,175,lac.,190,199,161,198,188,185,189,181,470,506,542,579,582,544,546,515,501,537,517,520,515,512,516,479,405,423,389,390,350,336,277,283,281,200,140,,
40621,Les Autels-Villevillon,Villevillon,28016,B,s_o,Orléans,Châteaudun,Châteaudun,Authon-du-Perche ,Chartres,Paris,Chartres ,Maine,Chartres,Dunois,Perche,Notre Dame,abbé de Saint-Père,50,n_c,83,n_c,n_c,n_c,n_c,n_c,n_c,88,n_c,80,88,74,244,71,238,n_c,66,n_c,n_c,67,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,88,72,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,70,n_c,Nogent-le-Rotrou,La Bazoche,Authon,s_i,s_i,n_c,288,lac.,305,287,324,292,316,336,336,348,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,s_i,,
1968,Autheuil,Autheuil,28017,s_o,1607,Orléans,Châteaudun,Châteaudun,Châteaudun,Blois,Paris,Blois,Orléanais,Blois ,Vendôme,Cloyes-sur-le-Loir,saint Avit,abbé de Saint-Lomer de Blois,80,n_c,40,n_c,n_c,n_c,n_c,n_c,n_c,39,n_c,31,39,29,125,25,125,n_c,31,n_c,n_c,39,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,n_c,39,39,n_c,n_c,n_c,n_c,n_c,39,160,39,160,31,164,41,158,38,n_c,Châteaudun,Cloyes,Cloyes,Châteaudun,Cloyes-sur-le-Loir,n_c,224,lac.,240,204,243,240,250,229,272,198,278,262,251,284,307,271,265,265,263,239,256,241,236,225,234,224,205,201,197,207,195,212,201,209,229,252,242,,
